"Region",".y.","n","statistic","df","p","method"
"CRS","No_celulas",258,91.9884569572182,2,1.06e-20,"Kruskal-Wallis"
"DSH","No_celulas",192,104.385604667544,2,2.15e-23,"Kruskal-Wallis"
"DST/F","No_celulas",177,79.6350101521246,2,5.1e-18,"Kruskal-Wallis"
"DST/H","No_celulas",185,112.486267875988,2,3.75e-25,"Kruskal-Wallis"
"LIF","No_celulas",147,70.3662840675279,2,5.25e-16,"Kruskal-Wallis"
"RIF","No_celulas",166,76.4979809798453,2,2.45e-17,"Kruskal-Wallis"
"VSH","No_celulas",169,107.31643270052,2,4.97e-24,"Kruskal-Wallis"
"VST","No_celulas",254,166.528304576683,2,6.9e-37,"Kruskal-Wallis"
"VST/F","No_celulas",145,15.8322329966365,2,0.000365,"Kruskal-Wallis"
"VST/H","No_celulas",179,110.087342531925,2,1.24e-24,"Kruskal-Wallis"
